"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818209, LBL: Ambient)","RH, % (SEN S/N: 9818209)","DewPt, ¡C (SEN S/N: 9818209)","Temp, ¡C (SEN S/N: 9824746, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833753, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833755, LBL: 10cmBG)"
10-05-2012,13:38:44,11.443,74.700,7.1,9.139,0.2756,0.2356
10-05-2012,14:38:45,8.444,79.400,5.1,9.312,0.2756,0.2342
10-05-2012,15:38:46,8.668,82.200,5.8,9.040,0.2748,0.2327
10-05-2012,16:38:47,7.870,81.700,4.9,8.494,0.2741,0.2313
10-05-2012,17:38:48,5.437,88.900,3.8,7.544,0.2734,0.2291
10-05-2012,18:38:49,4.921,98.000,4.6,6.585,0.2727,0.2284
10-05-2012,19:38:50,4.844,99.300,4.7,6.102,0.2719,0.2276
10-05-2012,20:38:51,5.514,98.900,5.4,5.847,0.2719,0.2269
10-05-2012,21:38:52,5.898,99.300,5.8,5.872,0.2712,0.2269
10-05-2012,22:38:53,5.924,99.100,5.8,5.975,0.2712,0.2262
10-05-2012,23:38:54,5.616,96.200,5.1,5.898,0.2705,0.2262
11-05-2012,00:38:55,5.385,96.400,4.9,5.745,0.2698,0.2254
11-05-2012,01:38:56,5.179,93.500,4.2,5.565,0.2698,0.2247
11-05-2012,02:38:57,4.921,93.300,3.9,5.334,0.2690,0.2247
11-05-2012,03:38:58,4.844,93.800,3.9,5.154,0.2690,0.2240
11-05-2012,04:38:59,4.921,94.300,4.1,5.076,0.2683,0.2240
11-05-2012,05:39:00,4.947,94.300,4.1,4.921,0.2683,0.2233
11-05-2012,06:39:01,4.688,95.700,4.1,4.921,0.2676,0.2233
11-05-2012,07:39:02,3.958,96.000,3.4,4.844,0.2676,0.2225
11-05-2012,08:39:03,4.272,94.400,3.5,4.636,0.2676,0.2218
11-05-2012,09:39:04,5.231,90.200,3.8,4.714,0.2668,0.2218
11-05-2012,10:39:05,6.813,85.200,4.5,5.102,0.2668,0.2218
11-05-2012,11:39:06,6.000,86.500,3.9,5.693,0.2668,0.2218
11-05-2012,12:39:07,6.611,84.300,4.2,6.204,0.2668,0.2211
11-05-2012,13:39:08,4.428,93.100,3.4,6.535,0.2668,0.2211
11-05-2012,14:39:09,6.204,96.800,5.7,6.560,0.2668,0.2211
11-05-2012,15:39:10,5.796,88.400,4.0,6.636,0.2661,0.2204
11-05-2012,16:39:11,4.895,84.000,2.4,6.306,0.2661,0.2196
11-05-2012,17:39:12,1.913,84.400,-0.4,5.514,0.2654,0.2182
11-05-2012,18:39:13,0.522,92.400,-0.6,4.610,0.2647,0.2167
11-05-2012,19:39:14,-1.641,92.000,-2.8,3.696,0.2647,0.2153
11-05-2012,20:39:15,-1.842,93.000,-2.8,2.956,0.2639,0.2153
