"Date","Time, GMT+11:00","Temp, ¡C (SEN S/N: 9818223, LBL: Ambient)","RH, % (SEN S/N: 9818223)","DewPt, ¡C (SEN S/N: 9818223)","Temp, ¡C (SEN S/N: 9824747, LBL: 3cmBG)","Water Content, m?/m? (SEN S/N: 9833750, LBL: 5cmBG)","Water Content, m?/m? (SEN S/N: 9833763, LBL: 10cmBG)"
25-04-2011,18:06:25,11.492,73.900,7.0,12.606,0.1840,0.2625
25-04-2011,19:06:26,5.668,88.400,3.9,11.540,0.1833,0.2625
25-04-2011,20:06:27,5.128,95.600,4.5,10.124,0.1819,0.2625
25-04-2011,21:06:28,5.308,98.300,5.1,9.410,0.1819,0.2618
25-04-2011,22:06:29,5.154,98.600,5.0,8.965,0.1819,0.2618
25-04-2011,23:06:30,4.584,98.800,4.4,8.494,0.1819,0.2618
26-04-2011,00:06:31,1.126,98.400,0.9,7.720,0.1811,0.2618
26-04-2011,01:06:32,-2.305,98.500,-2.5,6.535,0.1811,0.2610
26-04-2011,02:06:33,-3.183,98.900,-3.3,5.488,0.1804,0.2610
26-04-2011,03:06:34,-3.419,99.800,-3.5,4.766,0.1797,0.2603
26-04-2011,04:06:35,-3.627,99.900,-3.7,4.168,0.1797,0.2603
26-04-2011,05:06:36,-4.076,99.800,-4.1,3.670,0.1790,0.2603
26-04-2011,06:06:37,-4.167,99.700,-4.2,3.221,0.1782,0.2603
26-04-2011,07:06:38,-3.896,100.000,-3.9,2.877,0.1790,0.2603
26-04-2011,08:06:39,-4.016,99.800,-4.1,2.584,0.1790,0.2603
26-04-2011,09:06:40,0.246,99.700,0.2,2.503,0.1790,0.2596
26-04-2011,10:06:41,13.088,92.800,12.0,3.854,0.1790,0.2596
26-04-2011,11:06:42,20.698,64.000,13.7,7.469,0.1790,0.2596
26-04-2011,12:06:43,23.088,50.500,12.3,10.638,0.1797,0.2596
26-04-2011,13:06:44,23.569,43.700,10.5,14.337,0.1804,0.2603
26-04-2011,14:06:45,20.079,43.200,7.2,17.534,0.1804,0.2596
26-04-2011,15:06:46,24.412,53.500,14.4,17.225,0.1811,0.2603
26-04-2011,16:06:47,22.345,45.800,10.1,16.987,0.1811,0.2603
26-04-2011,17:06:48,18.129,52.700,8.3,15.533,0.1804,0.2603
26-04-2011,18:06:49,12.219,63.300,5.5,14.218,0.1804,0.2603
26-04-2011,19:06:50,7.519,87.300,5.6,12.654,0.1797,0.2603
26-04-2011,20:06:51,6.585,94.600,5.8,11.419,0.1782,0.2603
26-04-2011,21:06:52,4.973,97.000,4.5,10.296,0.1775,0.2603
26-04-2011,22:06:53,4.454,99.000,4.3,9.238,0.1775,0.2596
26-04-2011,23:06:54,2.717,99.400,2.6,8.369,0.1775,0.2596
27-04-2011,00:06:55,1.859,99.900,1.8,7.444,0.1775,0.2596
27-04-2011,01:06:56,0.687,100.000,0.7,6.737,0.1768,0.2589
27-04-2011,02:06:57,-0.902,99.300,-1.0,6.051,0.1768,0.2589
27-04-2011,03:06:58,-2.771,93.900,-3.6,5.334,0.1761,0.2581
27-04-2011,04:06:59,-4.046,94.800,-4.8,4.610,0.1753,0.2581
27-04-2011,05:07:00,-4.804,95.500,-5.4,3.985,0.1753,0.2581
27-04-2011,06:07:01,-4.076,93.200,-5.0,3.459,0.1753,0.2581
27-04-2011,07:07:02,-1.641,88.300,-3.3,3.142,0.1753,0.2574
