"Date Time, GMT-04:00","Temp, ¡C","Temp, ¡C","Temp, ¡C","Temp, ¡C"
10/21/10 01:23:21,24.002,17.011,10.541,8.295
10/21/10 01:24:21,24.171,17.011,10.541,8.295
10/21/10 01:25:21,23.737,16.987,10.541,8.295
10/21/10 01:26:21,24.002,16.987,10.541,8.319
10/21/10 01:27:21,24.798,17.011,10.541,8.319
10/21/10 01:28:21,26.182,17.106,10.565,8.319
10/21/10 01:29:21,27.136,17.225,10.565,8.319
10/21/10 01:30:21,27.308,17.296,10.565,8.319
10/21/10 01:31:21,27.063,17.320,10.565,8.344
10/21/10 01:32:21,26.965,17.272,10.565,8.344
10/21/10 01:33:21,25.501,17.225,10.565,8.344
10/21/10 01:34:21,25.137,17.153,10.565,8.369
10/21/10 01:35:21,24.557,17.082,10.565,8.369
10/21/10 01:36:21,23.400,16.987,10.590,8.369
10/21/10 01:37:21,23.665,16.915,10.590,8.369
10/21/10 01:38:21,24.702,16.915,10.590,8.369
10/21/10 01:39:21,24.412,16.939,10.590,8.394
10/21/10 01:40:21,23.761,16.844,10.590,8.394
10/21/10 01:41:21,23.905,16.820,10.590,8.394
10/21/10 01:42:21,24.339,16.820,10.614,8.394
10/21/10 01:43:21,23.978,16.820,10.590,8.394
10/21/10 01:44:21,23.256,16.725,10.590,8.419
10/21/10 01:45:21,23.256,16.677,10.614,8.419
10/21/10 01:46:21,23.040,16.654,10.614,8.419
10/21/10 01:47:21,23.617,16.654,10.614,8.419
10/21/10 01:48:21,23.930,16.654,10.614,8.419
10/21/10 01:49:21,24.726,16.630,10.614,8.444
10/21/10 01:50:21,24.702,16.582,10.614,8.444
10/21/10 01:51:21,24.605,16.463,10.614,8.444
10/21/10 01:52:21,24.798,16.344,10.614,8.444
10/21/10 01:53:21,24.219,16.225,10.614,8.444
10/21/10 01:54:21,23.304,16.058,10.614,8.469
10/21/10 01:55:21,23.689,15.939,10.614,8.469
10/21/10 01:56:21,24.002,15.867,10.614,8.469
10/21/10 01:57:21,23.978,15.748,10.614,8.494
10/21/10 01:58:21,24.847,15.700,10.614,8.494
10/21/10 01:59:21,25.089,15.676,10.614,8.494
10/21/10 02:00:21,24.557,15.605,10.614,8.494
10/21/10 02:01:21,24.243,15.485,10.614,8.494
10/21/10 02:02:21,24.098,15.390,10.614,8.494
10/21/10 02:03:21,24.219,15.294,10.614,8.519
10/21/10 02:04:21,23.665,15.247,10.614,8.519
10/21/10 02:05:21,23.978,15.175,10.614,8.519
10/21/10 02:06:21,24.074,15.127,10.614,8.543
10/21/10 02:07:21,23.665,15.103,10.614,8.543
10/21/10 02:08:21,23.472,15.055,10.614,8.543
10/21/10 02:09:21,23.208,14.984,10.614,8.543
10/21/10 02:10:21,22.944,14.912,10.614,8.543
10/21/10 02:11:21,22.537,14.840,10.614,8.543
10/21/10 02:12:21,22.011,14.768,10.614,8.543
10/21/10 02:13:21,21.939,14.721,10.614,8.568
10/21/10 02:14:21,20.936,14.673,10.614,8.568
10/21/10 02:15:21,20.674,14.577,10.614,8.568
10/21/10 02:16:21,20.293,14.529,10.614,8.568
10/21/10 02:17:21,20.198,14.481,10.614,8.568
10/21/10 02:18:21,20.412,14.457,10.614,8.593
10/21/10 02:19:21,20.460,14.433,10.614,8.593
10/21/10 02:20:21,20.484,14.409,10.614,8.593
10/21/10 02:21:21,20.579,14.409,10.614,8.593
10/21/10 02:22:21,20.460,14.361,10.614,8.593
10/21/10 02:23:21,20.246,14.290,10.614,8.618
10/21/10 02:24:21,20.555,14.266,10.614,8.593
10/21/10 02:25:21,20.460,14.290,10.590,8.618
10/21/10 02:26:21,20.007,14.242,10.590,8.618
10/21/10 02:27:21,19.508,14.170,10.590,8.618
10/21/10 02:28:21,19.341,14.098,10.590,8.618
10/21/10 02:29:21,19.318,14.074,10.590,8.618
10/21/10 02:30:21,19.246,14.050,10.590,8.643
10/21/10 02:31:21,19.222,14.002,10.590,8.643
10/21/10 02:32:21,19.389,13.978,10.590,8.643
10/21/10 02:33:21,19.175,13.954,10.590,8.643
10/21/10 02:34:21,19.199,13.906,10.590,8.643
10/21/10 02:35:21,18.985,13.882,10.590,8.643
10/21/10 02:36:21,18.438,13.834,10.590,8.668
10/21/10 02:37:21,18.533,13.786,10.590,8.668
10/21/10 02:38:21,18.343,13.714,10.565,8.668
10/21/10 02:39:21,18.081,13.690,10.565,8.668
10/21/10 02:40:21,18.200,13.642,10.565,8.668
10/21/10 02:41:21,18.414,13.618,10.565,8.668
