"Date","Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ¡C (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)"
31-01-2005,12:37:38,,13.666,13.209,14.745,43.951,15.62,1.00,-40.4,2108.7
31-01-2005,13:37:38,0.00,13.858,13.281,15.151,45.342,16.38,1.00,-40.0,2133.7
31-01-2005,14:37:38,0.00,14.266,13.377,15.867,47.190,17.14,1.00,-39.5,2098.7
31-01-2005,15:37:38,0.00,14.649,13.522,16.534,45.499,18.28,1.00,-38.8,1963.7
31-01-2005,16:37:38,0.00,15.055,13.714,17.034,37.921,18.28,1.00,-38.8,1706.2
31-01-2005,17:37:38,0.00,15.366,13.930,17.249,30.697,17.90,1.00,-39.0,1361.2
31-01-2005,18:37:38,0.00,15.581,14.122,17.153,23.665,17.52,1.00,-39.3,913.7
31-01-2005,19:37:38,0.00,15.652,14.290,16.844,17.034,16.00,1.00,-40.2,321.2
31-01-2005,20:37:38,0.00,15.629,14.409,16.344,13.834,14.09,1.00,-41.4,66.2
31-01-2005,21:37:38,0.00,15.485,14.481,15.796,11.662,14.85,1.00,-40.9,1.2
31-01-2005,22:37:38,0.00,15.270,14.481,15.270,11.005,13.32,1.00,-41.8,1.2
31-01-2005,23:37:38,0.00,15.031,14.457,14.816,10.712,15.23,1.00,-40.7,1.2
01-02-2005,00:37:38,0.00,14.792,14.385,14.481,10.516,15.23,1.00,-40.7,1.2
01-02-2005,01:37:38,0.00,14.601,14.314,14.194,10.149,14.47,1.00,-41.1,1.2
01-02-2005,02:37:38,0.00,14.409,14.194,13.978,10.026,14.09,1.00,-41.4,1.2
01-02-2005,03:37:38,0.00,14.242,14.098,13.786,9.312,13.70,1.00,-41.6,1.2
01-02-2005,04:37:38,0.00,14.074,14.002,13.570,9.114,13.70,1.00,-41.6,1.2
01-02-2005,05:37:38,0.00,13.930,13.906,13.353,8.717,13.32,1.00,-41.8,1.2
